Sel.;Produto;Derivação;Descrição;Custo Variável;Custo Direto Fixo;CIF;Custo Total;UM;Origem Valor;Obs.
0;2102140001;LILAS;ESCALADA M1 - LILAS;107,594323;37,520072;0,000000;145,114395;UN;Calculado;
0;2102140001;LIMAO;ESCALADA M1 - VERDE LIMAO;105,167592;37,520072;0,000000;142,687664;UN;Calculado;
0;2102140001;VERDE;ESCALADA M1 - VERDE;101,513747;37,520072;0,000000;139,033819;UN;Calculado;
0;2102140001;VERMELH;ESCALADA M1 - VERMELHO;103,774523;37,520072;0,000000;141,294595;UN;Calculado;
1;2102140002;AMARELO;ESCALADA M2 - AMARELO;0,000000;0,000000;0,000000;0,000000;UN;;
1;2102140002;AZUL;ESCALADA M2 - AZUL;0,000000;0,000000;0,000000;0,000000;UN;;
1;2102140002;LARANJA;ESCALADA M2 - LARANJA;0,000000;0,000000;0,000000;0,000000;UN;;
1;2102140002;LILAS;ESCALADA M2 - LILAS;0,000000;0,000000;0,000000;0,000000;UN;;
1;2102140002;LIMAO;ESCALADA M2 - VERDE LIMAO;0,000000;0,000000;0,000000;0,000000;UN;;
1;2102140002;VERDE;ESCALADA M2 - VERDE;0,000000;0,000000;0,000000;0,000000;UN;;
1;2102140002;VERMELH;ESCALADA M2 - VERMELHO;0,000000;0,000000;0,000000;0,000000;UN;;
0;2102150001;AMARELO;ESCORREGADOR M1 - AMARELO;169,101119;60,970117;0,000000;230,071236;UN;Calculado;
0;2102150001;AZUL;ESCORREGADOR M1 - AZUL;166,890261;60,970117;0,000000;227,860378;UN;Calculado;
0;2102150001;LARANJA;ESCORREGADOR M1 - LARANJA;183,252100;60,970117;0,000000;244,222217;UN;Calculado;
0;2102150001;LILAS;ESCORREGADOR M1 - LILAS;175,329068;60,970117;0,000000;236,299185;UN;Calculado;
0;2102150001;LIMAO;ESCORREGADOR M1 - VERDE LIMAO;170,897337;60,970117;0,000000;231,867454;UN;Calculado;
0;2102150001;VERDE;ESCORREGADOR M1 - VERDE;165,448132;60,970117;0,000000;226,418249;UN;Calculado;
0;2102150001;VERMELH;ESCORREGADOR M1 - VERMELHO;169,121893;60,970117;0,000000;230,092010;UN;Calculado;
0;2102150002;AMARELO;ESCORREGADOR M2 - AMARELO;285,344791;103,180198;0,000000;388,524989;UN;Calculado;
0;2102150002;AZUL;ESCORREGADOR M2 - AZUL;281,603339;103,180198;0,000000;384,783537;UN;Calculado;
0;2102150002;LARANJA;ESCORREGADOR M2 - LARANJA;309,292605;103,180198;0,000000;412,472803;UN;Calculado;
0;2102150002;LILAS;ESCORREGADOR M2 - LILAS;295,884397;103,180198;0,000000;399,064595;UN;Calculado;
0;2102150002;VERDE;ESCORREGADOR M2 - VERDE;279,162813;103,180198;0,000000;382,343011;UN;Calculado;
0;2102150002;VERMELH;ESCORREGADOR M2 - VERMELHO;285,379947;103,180198;0,000000;388,560145;UN;Calculado;
0;2102150003;AMARELO;ESCORREGADOR M3 - AMARELO;129,702175;46,900090;0,000000;176,602265;UN;Calculado;
0;2102150003;AZUL;ESCORREGADOR M3 - AZUL;128,001515;46,900090;0,000000;174,901605;UN;Calculado;
0;2102150003;LARANJA;ESCORREGADOR M3 - LARANJA;140,587545;46,900090;0,000000;187,487635;UN;Calculado;
0;2102150003;LILAS;ESCORREGADOR M3 - LILAS;134,492905;46,900090;0,000000;181,392995;UN;Calculado;
0;2102150003;LIMAO;ESCORREGADOR M3 - VERDE LIMAO;131,459485;46,900090;0,000000;178,359575;UN;Calculado;
0;2102150003;VERDE;ESCORREGADOR M3 - VERDE;126,892185;46,900090;0,000000;173,792275;UN;Calculado;
0;2102150003;VERMELH;ESCORREGADOR M3 - VERMELHO;129,718155;46,900090;0,000000;176,618245;UN;Calculado;
0;2102150004;AMARELO;ESCORREGADOR M4 - AMARELO;182,071337;65,660126;0,000000;247,731463;UN;Calculado;
0;2102150004;AZUL;ESCORREGADOR M4 - AZUL;179,690413;65,660126;0,000000;245,350539;UN;Calculado;
0;2102150004;LARANJA;ESCORREGADOR M4 - LARANJA;197,310855;65,660126;0,000000;262,970981;UN;Calculado;
0;2102150004;LILAS;ESCORREGADOR M4 - LILAS;188,778359;65,660126;0,000000;254,438485;UN;Calculado;
0;2102150004;LIMAO;ESCORREGADOR M4 - VERDE LIMAO;184,043281;65,660126;0,000000;249,703407;UN;Calculado;
0;2102150004;VERDE;ESCORREGADOR M4 - VERDE;178,137351;65,660126;0,000000;243,797477;UN;Calculado;
0;2102150004;VERMELH;ESCORREGADOR M4 - VERMELHO;182,093709;65,660126;0,000000;247,753835;UN;Calculado;
0;2102150005;AMARELO;PONTEIRA M1 - AMARELO;116,731957;42,210081;0,000000;158,942038;UN;Calculado;
0;2102150005;AZUL;PONTEIRA M1 - AZUL;115,201363;42,210081;0,000000;157,411444;UN;Calculado;
0;2102150005;LARANJA;PONTEIRA M1 - LARANJA;126,528790;42,210081;0,000000;168,738871;UN;Calculado;
0;2102150005;LILAS;PONTEIRA M1 - LILAS;121,043614;42,210081;0,000000;163,253695;UN;Calculado;
0;2102150005;VERDE;PONTEIRA M1 - VERDE;114,202966;42,210081;0,000000;156,413047;UN;Calculado;
0;2102150005;VERMELH;PONTEIRA M1 - VERMELHO;116,746339;42,210081;0,000000;158,956420;UN;Calculado;
0;2102150006;AMARELO;ESCORREGADOR M5 - AMARELO;90,791521;32,830063;0,000000;123,621584;UN;Calculado;
0;2102150006;AZUL;ESCORREGADOR M5 - AZUL;89,601059;32,830063;0,000000;122,431122;UN;Calculado;
0;2102150006;LARANJA;ESCORREGADOR M5 - LARANJA;98,411280;32,830063;0,000000;131,241343;UN;Calculado;
0;2102150006;LILAS;ESCORREGADOR M5 - LILAS;94,145032;32,830063;0,000000;126,975095;UN;Calculado;
0;2102150006;LIMAO;ESCORREGADOR M5 - VERDE LIMAO;92,021638;32,830063;0,000000;124,851701;UN;Calculado;
0;2102150006;VERDE;ESCORREGADOR M5 - VERDE;88,824528;32,830063;0,000000;121,654591;UN;Calculado;
0;2102150006;VERMELH;ESCORREGADOR M5 - VERMELHO;90,802707;32,830063;0,000000;123,632770;UN;Calculado;
0;2102150007;AMARELO;PONTEIRA M2 - AMARELO;77,821303;28,140054;0,000000;105,961357;UN;Calculado;
0;2102150007;AZUL;PONTEIRA M2 - AZUL;76,800907;28,140054;0,000000;104,940961;UN;Calculado;
0;2102150007;COLORID;PONTEIRA M2 - COLORIDA;55,491720;28,140054;0,000000;83,631774;UN;Calculado;
0;2102150007;LARANJA;PONTEIRA M2 - LARANJA;84,352525;28,140054;0,000000;112,492579;UN;Calculado;
0;2102150007;LILAS;PONTEIRA M2 - LILAS;80,695746;28,140054;0,000000;108,835800;UN;Calculado;
0;2102150007;VERDE;PONTEIRA M2 - VERDE;76,135309;28,140054;0,000000;104,275363;UN;Calculado;
0;2102150007;VERMELH;PONTEIRA M2 - VERMELHO;77,830891;28,140054;0,000000;105,970945;UN;Calculado;
0;2102150008;AMARELO;CURVA CARACOL M1 - AMARELO;260,319520;93,800180;0,000000;354,119700;UN;Calculado;
0;2102150008;AZUL;CURVA CARACOL M1 - AZUL;256,918200;93,800180;0,000000;350,718380;UN;Calculado;
