Sel.;Produto;Derivação;Descrição;Custo Variável;Custo Direto Fixo;CIF;Custo Total;UM;Origem Valor;Obs.
1;2002000009;VERMELH;PEMD 1,600 KG - VERMELHO;14,3649456;0;0;14,3649456;UN;Calculado;
1;2002000010;AMARELO;PEMD 2,000 KG - AMARELO;17,996954;0;0;17,996954;UN;Calculado;
1;2002000010;AZUL;PEMD 2,000 KG - AZUL;18,535584;0;0;18,535584;UN;Calculado;
1;2002000010;CINZA;PEMD 2,000 KG - CINZA;17,807788;0;0;17,807788;UN;Calculado;
1;2002000010;COLORID;PEMD 2,000 KG - COLORIDA;18,497148;0;0;18,497148;UN;Calculado;
1;2002000010;LARANJA;PEMD 2,000 KG - LARANJA;18,23301;0;0;18,23301;UN;Calculado;
1;2002000010;LILAS;PEMD 2,000 KG - LILAS;18,110616;0;0;18,110616;UN;Calculado;
1;2002000010;LIMAO;PEMD 2,000 KG - VERDE LIMAO;19,659734;0;0;19,659734;UN;Calculado;
1;2002000010;VERDE;PEMD 2,000 KG - VERDE;17,778804;0;0;17,778804;UN;Calculado;
1;2002000010;VERMELH;PEMD 2,000 KG - VERMELHO;17,956182;0;0;17,956182;UN;Calculado;
1;2002000011;AMARELO;PEMD 3,000 KG - AMARELO;26,995431;0;0;26,995431;UN;Calculado;
1;2002000011;AZUL;PEMD 3,000 KG - AZUL;27,803376;0;0;27,803376;UN;Calculado;
1;2002000011;CINZA;PEMD 3,000 KG - CINZA;26,711682;0;0;26,711682;UN;Calculado;
1;2002000011;COLORID;PEMD 3,000 KG - COLORIDA;27,745722;0;0;27,745722;UN;Calculado;
1;2002000011;LARANJA;PEMD 3,000 KG - LARANJA;27,349515;0;0;27,349515;UN;Calculado;
1;2002000011;LILAS;PEMD 3,000 KG - LILAS;27,165924;0;0;27,165924;UN;Calculado;
1;2002000011;LIMAO;PEMD 3,000 KG - VERDE LIMAO;29,489601;0;0;29,489601;UN;Calculado;
1;2002000011;VERDE;PEMD 3,000 KG - VERDE;26,668206;0;0;26,668206;UN;Calculado;
1;2002000011;VERMELH;PEMD 3,000 KG - VERMELHO;26,934273;0;0;26,934273;UN;Calculado;
1;2002000012;AMARELO;PEMD 3,500 KG - AMARELO;31,4946695;0;0;31,4946695;UN;Calculado;
1;2002000012;AZUL;PEMD 3,500 KG - AZUL;32,437272;0;0;32,437272;UN;Calculado;
1;2002000012;CINZA;PEMD 3,500 KG - CINZA;31,163629;0;0;31,163629;UN;Calculado;
1;2002000012;COLORID;PEMD 3,500 KG - COLORIDA;32,370009;0;0;32,370009;UN;Calculado;
1;2002000012;LARANJA;PEMD 3,500 KG - LARANJA;31,9077675;0;0;31,9077675;UN;Calculado;
1;2002000012;LILAS;PEMD 3,500 KG - LILAS;31,693578;0;0;31,693578;UN;Calculado;
1;2002000012;LIMAO;PEMD 3,500 KG - VERDE LIMAO;34,4045345;0;0;34,4045345;UN;Calculado;
1;2002000012;VERDE;PEMD 3,500 KG - VERDE;31,112907;0;0;31,112907;UN;Calculado;
1;2002000012;VERMELH;PEMD 3,500 KG - VERMELHO;31,4233185;0;0;31,4233185;UN;Calculado;
1;2002000013;AMARELO;PEMD 4,000 KG - AMARELO;35,993908;0;0;35,993908;UN;Calculado;
1;2002000013;AZUL;PEMD 4,000 KG - AZUL;37,071168;0;0;37,071168;UN;Calculado;
1;2002000013;CINZA;PEMD 4,000 KG - CINZA;35,615576;0;0;35,615576;UN;Calculado;
1;2002000013;COLORID;PEMD 4,000 KG - COLORIDA;36,994296;0;0;36,994296;UN;Calculado;
1;2002000013;LARANJA;PEMD 4,000 KG - LARANJA;36,46602;0;0;36,46602;UN;Calculado;
1;2002000013;LILAS;PEMD 4,000 KG - LILAS;36,221232;0;0;36,221232;UN;Calculado;
1;2002000013;LIMAO;PEMD 4,000 KG - VERDE LIMAO;39,319468;0;0;39,319468;UN;Calculado;
1;2002000013;VERDE;PEMD 4,000 KG - VERDE;35,557608;0;0;35,557608;UN;Calculado;
1;2002000013;VERMELH;PEMD 4,000 KG - VERMELHO;35,912364;0;0;35,912364;UN;Calculado;
1;2002000014;AMARELO;PEMD 5,000 KG - AMARELO;44,992385;0;0;44,992385;UN;Calculado;
1;2002000014;AZUL;PEMD 5,000 KG - AZUL;46,33896;0;0;46,33896;UN;Calculado;
1;2002000014;CINZA;PEMD 5,000 KG - CINZA;44,51947;0;0;44,51947;UN;Calculado;
1;2002000014;COLORID;PEMD 5,000 KG - COLORIDA;46,24287;0;0;46,24287;UN;Calculado;
